PASS n-mspan rc=0 exp=0 | PASS: 0 failure(s)
PASS n-msmooth rc=0 exp=0 | PASS: 0 failure(s)
PASS n-mprobe rc=0 exp=0 | u02-probe: REST ANCHOR junctionB root-local ( -140,   199,     0) mm
PASS n-mjointpub rc=0 exp=0 | PASS: 0 failure(s)
PASS n-mqa rc=0 exp=0 | PASS: 0 failure(s)
PASS n-mmeshcheck rc=0 exp=0 | u02-meshcheck: 34 meshlets, 2800 tris, 1416 position groups, 4200 edges — CLEAN
PASS n-moutline rc=0 exp=0 | PASS: 0 failure(s)
PASS n-mshell rc=0 exp=0 | shellgate: PASS
PASS n-mshell-selftest rc=0 exp=0 | shellgate --selftest: every check is failable
PASS n-mnodule rc=0 exp=0 | PASS: 0 failure(s)
PASS n-meyesize rc=0 exp=0 | PASS: 0 failure(s)
PASS n-mrear rc=0 exp=0 | rear gate mask 0x0 -> GREEN
PASS r-rear-frame rc=1 exp=1 mask=0xB want=0xB
PASS r-rear-joint rc=1 exp=1 mask=0xA want=0xA
PASS r-line-scale rc=1 exp=1 mask=0x4 want=0x4
PASS r-line-flag rc=1 exp=1 mask=0x4 want=0x4
PASS r-rear-strain rc=1 exp=1 mask=0x8 want=0x8
PASS r-no-dip rc=1 exp=1 mask=0x10 want=0x10
PASS n-mrear-dip rc=0 exp=0 | rear gate mask 0x0 -> GREEN
PASS s-rigid-F-A rc=1 exp=1 | MUTANT] rigid free span F-A
PASS s-rigid-A-B rc=1 exp=1 | MUTANT] rigid free span A-B
PASS s-rigid-B-C rc=1 exp=1 | MUTANT] rigid free span B-C
PASS s-rigid-C-E rc=1 exp=1 | MUTANT] rigid free span C-E
PASS s-clamp-F-A rc=1 exp=1 | MUTANT] clamp negative F-A
PASS s-clamp-A-B rc=1 exp=1 | MUTANT] clamp negative A-B
PASS s-clamp-B-C rc=1 exp=1 | MUTANT] clamp negative B-C
PASS s-clamp-C-E rc=1 exp=1 | MUTANT] clamp negative C-E
PASS s-over-F-A rc=1 exp=1 | MUTANT] overcompact F-A
PASS s-over-A-B rc=1 exp=1 | MUTANT] overcompact A-B
PASS s-over-B-C rc=1 exp=1 | MUTANT] overcompact B-C
PASS s-over-C-E rc=1 exp=1 | MUTANT] overcompact C-E
PASS s-drift-A rc=1 exp=1 | MUTANT] delta drift at F-A endpoint
PASS s-drift-B rc=1 exp=1 | MUTANT] delta drift at A-B endpoint
PASS s-drift-C rc=1 exp=1 | MUTANT] delta drift at B-C endpoint
PASS s-drift-E rc=1 exp=1 | MUTANT] delta drift at C-E endpoint
PASS s-e-start rc=1 exp=1 | MUTANT] omit C-End start-helper fraction
PASS s-e-mid rc=1 exp=1 | MUTANT] omit C-End midpoint-helper fraction
PASS s-e-presocket rc=1 exp=1 | MUTANT] omit C-End pre-socket-helper fraction
PASS s-posed-order rc=1 exp=1 | MUTANT] rotate one shipping partial helper 180 degrees
PASS s-order rc=1 exp=1 | MUTANT] zero the production crown-shuffle gain
PASS s-antenna-snap rc=1 exp=1 | MUTANT] restore instantaneous crown tableau replacement
PASS s-accent-switch rc=1 exp=1 | MUTANT] restore per-cycle hashed accent/lead switch
PASS s-hold-tremor rc=1 exp=1 | MUTANT] restore hard-gated hold tremor
PASS s-compress-wrap rc=1 exp=1 | MUTANT] restore raw u16 impact-deform wrap
PASS s-final-dwell rc=1 exp=1 | MUTANT] fail to clamp the first held carrier tick
PASS s-root-authority rc=1 exp=1 | MUTANT] restore split Front/End root rotation authority
PASS s-front-flex rc=1 exp=1 | MUTANT] mute all version-18 public Front X/Y curves
PASS s-swell-size rc=1 exp=1 | MUTANT] restore version-17 protruding swell amplitudes
PASS s-terminal-cap rc=1 exp=1 | MUTANT] restore the authored 42/26 profile on the buried terminal ring
PASS s-mute-F rc=1 exp=1 | MUTANT] mute crown-shuffle carrier F
PASS s-mute-A rc=1 exp=1 | MUTANT] mute crown-shuffle carrier A
PASS s-mute-B rc=1 exp=1 | MUTANT] mute crown-shuffle carrier B
PASS s-mute-C rc=1 exp=1 | MUTANT] mute crown-shuffle carrier C
PASS s-mute-E rc=1 exp=1 | MUTANT] mute crown-shuffle carrier E
PASS m-lightning-switch rc=1 exp=1 | MUTANT lightning-switch: attributed detector fired categories=0x4c20 expected=0x800 allowed=0x4c20
PASS m-shape-blackout rc=1 exp=1 | MUTANT shape-blackout: attributed detector fired categories=0x10 expected=0x10 allowed=0x58010
PASS m-particle-reseed rc=1 exp=1 | MUTANT fold-particle-reseed: attributed detector fired categories=0x2024 expected=0x4 allowed=0x2024
PASS m-surge-reseed rc=1 exp=1 | MUTANT surge-reseed: attributed detector fired categories=0x4420 expected=0x4000 allowed=0x4420
PASS m-loop-seam rc=1 exp=1 | MUTANT loop-seam: attributed detector fired categories=0x1480 expected=0x400 allowed=0x1480
